date,so2_max_du,so2_mean_du,so2_15_du
2022-08-14,4.59588,0.787755,0.188046
2022-08-15,4.18496,1.06337,0.362599
2022-08-16,3.14071,0.745005,0.198239
2022-08-17,5.28382,1.22648,0.224554
2022-08-18,3.53354,0.446501,0.132131
2022-08-19,5.44435,0.326899,0.11438
2022-08-20,2.80908,0.502038,0.128447
2022-08-22,1.85649,0.470418,0.20095
2022-08-23,3.25469,0.502051,0.135485
2022-08-24,8.14287,1.43745,0.369133
2022-08-25,4.06108,0.789551,0.291538
2022-08-26,3.5186,0.928874,0.144737
2022-08-27,2.47959,0.885929,0.146995
2022-08-28,5.3148,2.96913,0.306585
2022-08-29,2.67746,0.773301,0.282567
2022-08-30,1.94489,0.098532,0.102594
2022-08-31,6.04028,1.22403,0.284735
2022-09-01,1.97745,0.606249,0.116905
2022-09-02,9.43996,1.52725,0.310114
2022-09-03,0.572036,0.301949,0.0816542
2022-09-04,0.841043,-0.0455298,0.00595603
2022-09-05,3.1858,0.75901,0.228803
2022-09-06,5.79597,1.57458,0.290002
2022-09-07,3.98593,0.998137,0.182888
2022-09-09,-0.224625,-0.9013,0.0885331
2022-09-10,6.7272,1.43511,0.491271
2022-09-11,11.6709,2.14675,0.603073
2022-09-13,3.61817,0.0390252,0.0025298
2022-09-14,2.27345,0.629578,0.13562
2022-09-15,8.34337,1.25252,0.44731
2022-09-16,2.95328,1.0669,0.307971
2022-09-17,2.94715,0.498862,0.141198
2022-09-18,2.46105,0.64806,0.110092
2022-09-19,6.07385,1.22342,0.296328
2022-09-20,6.40773,0.889108,0.276108
2022-09-21,4.1567,0.662883,0.190746
2022-09-22,2.53853,0.620382,0.134647
2022-09-23,2.57125,0.954849,0.109167
2022-09-24,3.76992,0.836499,0.20645
2022-09-25,3.61396,0.468165,0.155264
2022-09-26,2.27354,0.389273,0.137596
2022-09-27,3.73974,1.40567,0.239121
2022-09-28,3.77943,0.81718,0.184691
2022-09-29,2.5724,0.55872,0.13054
2022-09-30,2.35165,0.269127,0.0903089
2022-10-01,2.80357,0.388873,0.116837
2022-10-02,2.71417,0.940596,0.100083
2022-10-03,2.09283,0.694343,0.196239
2022-10-04,1.98398,0.176911,0.0524719
2022-10-06,1.73474,1.28771,0.418668
2022-10-07,-0.458402,-0.458402,0.0883772
